society_name,price,location,area
,₹2.24 Cr ,"4 BHK Apartment for Sale in Geras Island of Joy, Wagholi Pune",Carpet Area1830 sqftUnder ConstructionPoss. by May '28TransactionNew PropertyFurnishingUnfurnishedSocietyGeras Island of JoyCar Parking1 CoveredBathroom4
,₹3.45 Cr ,"4 BHK Apartment for Sale in Malpani M Soul Strings, Pashan Pune",Carpet Area2059 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyMalpani M Soul StringsBathroom4Balcony2
Godrej Ivara,₹3.09 Cr ,"4 BHK Apartment for Sale in Godrej Ivara, Kharadi Pune",Carpet Area1550 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedSocietyGodrej IvaraBathroom4Balcony4
Majestique Evolvus,₹2.42 Cr ,"4 BHK Apartment for Sale in Majestique Evolvus, Kharadi Pune",Carpet Area1684 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyMajestique EvolvusBathroom4Balcony3
Majestique Evolvus,₹2.42 Cr ,"4 BHK Apartment for Sale in Majestique Evolvus, Kharadi Pune",Carpet Area1684 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyMajestique EvolvusBathroom4Balcony3
Rachana Bella Casa Royale,₹1.53 Cr ,"3 BHK Apartment for Sale in Rachana Bella Casa Royale, Sus Pune",Carpet Area1166 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedSocietyRachana Bella Casa RoyaleBathroom3Balcony2
Nyati Emerald,₹1.75 Cr ,"3 BHK Apartment for Sale in Nyati Emerald, Baner Pune",Carpet Area1213 sqftUnder ConstructionPoss. by May '27TransactionNew PropertyFurnishingUnfurnishedSocietyNyati EmeraldBathroom3Balcony2
Lodha Massimo,₹7.84 Cr ,"5 BHK Apartment for Sale in Lodha Massimo, Baner Pune",Carpet Area3673 sqftUnder ConstructionPoss. by Jun '29TransactionNew PropertyFurnishingUnfurnishedSocietyLodha MassimoBathroom5Balcony5
Suratwala Mark Plazzo,₹1.70 Cr ,"  Office Space for Sale in Suratwala Mark Plazzo, Hinjawadi Pune",Carpet Area721 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyBathroom1Balcony1
Nyati Emerald,₹1.75 Cr ,"3 BHK Apartment for Sale in Nyati Emerald, Baner Pune",Carpet Area1213 sqftUnder ConstructionPoss. by May '27TransactionNew PropertyFurnishingUnfurnishedSocietyNyati EmeraldBathroom3Balcony2
Godrej Ivara,₹3.09 Cr ,"4 BHK Apartment for Sale in Godrej Ivara, Kharadi Pune",Carpet Area1550 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedSocietyGodrej IvaraBathroom4Balcony4
Green Ladder Skyora,₹1.70 Cr ,"3 BHK Apartment for Sale in Green Ladder Skyora, Bavdhan Pune",Carpet Area1282 sqftUnder ConstructionPoss. by Jun '29TransactionNew PropertyFurnishingUnfurnishedSocietyGreen Ladder SkyoraBathroom3Balcony3
Shree Venkatesh Midori Towers Phase II,₹1.53 Cr ,"3 BHK Apartment for Sale in Shree Venkatesh Midori Towers Phase II, Pimple Nilakh, Pimpri Chinchwad Pune",Carpet Area1159 sqftUnder ConstructionPoss. by Sep '27TransactionNew PropertyFurnishingUnfurnishedSocietyShree Venkatesh Midori Towers Phase IIBathroom3Balcony2
Kasturi The Balmoral Towers,₹6.66 Cr ,"6 BHK Apartment for Sale in Kasturi The Balmoral Towers, Balewadi Pune",Carpet Area3742 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyKasturi The Balmoral TowersBathroom5Balcony2
Rohan Harita,₹2.12 Cr ,"4 BHK Apartment for Sale in Rohan Harita, Tathawade Pimpri Chinchwad Pune",Carpet Area1740 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietyRohan HaritaBathroom4Balcony3
Kumar Parth Towers,₹1.60 Cr ,"3 BHK Apartment for Sale in Kumar Parth Towers, Baner Pune",Carpet Area1177 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedSocietyKumar Parth TowersBathroom3Balcony2
Kolte Patil 24K Altura,₹2.66 Cr ,"3 BHK Apartment for Sale in Kolte Patil 24K Altura, Baner Pune",Carpet Area1371 sqftUnder ConstructionPoss. by Mar '28TransactionNew PropertyFurnishingUnfurnishedSocietyKolte Patil 24K AlturaBathroom3Balcony2
Mantra Mayfair River Residences,₹2.30 Cr ,"4 BHK Apartment for Sale in Mantra Mayfair River Residences, Mundhwa Pune",Carpet Area1624 sqftUnder ConstructionPoss. by Jun '26TransactionNew PropertyFurnishingUnfurnishedSocietyMantra Mayfair River ResidencesBathroom4Balcony3
,₹2.22 Cr ,"4 BHK Apartment for Sale in Shapoorji Pallonji Wildernest at SP Kingstown, Hadapsar Pune",Carpet Area1909 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedSocietyShapoorji Pallonji Wildernest at SP KingstownCar Parking1 CoveredBathroom5
Rising Kohinoor Business Tower,₹3 Cr ,"  Shop for Sale in Rising Kohinoor Business Tower, Mundhwa Pune",Carpet Area1498 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyBathroom2
Avenue Promenade,₹4.55 Cr ,"  Office Space for Sale in Avenue Promenade, Baner Pune",Carpet Area2130 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyBathroom1
Ranawat  Aura Aiwa,₹1.52 Cr ,"4 BHK Apartment for Sale in Ranawat  Aura Aiwa, Mohammed Wadi Pune",Carpet Area1543 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyRanawat  Aura AiwaBathroom4Balcony2
Intofinity Kohinoor Satori Mahalunge,₹3.19 Cr ,"4 BHK Apartment for Sale in Intofinity Kohinoor Satori Mahalunge, Mahalunge Pune",Carpet Area2326 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyIntofinity Kohinoor Satori MahalungeBathroom4Balcony2
Lodha Camelot,₹2.80 Cr ,"4 BHK Apartment for Sale in Lodha Camelot, Wagholi Pune",Carpet Area1668 sqftUnder ConstructionPoss. by Mar '30TransactionNew PropertyFurnishingUnfurnishedSocietyLodha CamelotBathroom4Balcony4
Kolte Patil 24k Sereno,₹3.21 Cr ,"3 BHK Apartment for Sale in Kolte Patil 24k Sereno, Baner Pune",Carpet Area1674 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyKolte Patil 24k SerenoBathroom3Balcony3
Lodha Panache,₹1.62 Cr ,"3 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",Carpet Area1088 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedSocietyLodha PanacheBathroom3Balcony2
Dosti Greenscapes,₹1.65 Cr ,"4 BHK Apartment for Sale in Dosti Greenscapes, Hadapsar Pune",Carpet Area1395 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietyDosti GreenscapesBathroom4Balcony4
