society_name,price,BHK,City,sqft,furnished_status
,₹2.24 Cr ,4 BHK,Pune,1830,Unfurnished
,₹3.45 Cr ,4 BHK,Pune,2059,Unfurnished
Godrej Ivara,₹3.09 Cr ,4 BHK,Pune,1550,Unfurnished
Majestique Evolvus,₹2.42 Cr ,4 BHK,Pune,1684,Unfurnished
Majestique Evolvus,₹2.42 Cr ,4 BHK,Pune,1684,Unfurnished
Rachana Bella Casa Royale,₹1.53 Cr ,3 BHK,Pune,1166,Unfurnished
Nyati Emerald,₹1.75 Cr ,3 BHK,Pune,1213,Unfurnished
Lodha Massimo,₹7.84 Cr ,5 BHK,Pune,3673,Unfurnished
Suratwala Mark Plazzo,₹1.70 Cr ,,Pune,721,
Nyati Emerald,₹1.75 Cr ,3 BHK,Pune,1213,Unfurnished
Godrej Ivara,₹3.09 Cr ,4 BHK,Pune,1550,Unfurnished
Green Ladder Skyora,₹1.70 Cr ,3 BHK,Pune,1282,Unfurnished
Shree Venkatesh Midori Towers Phase II,₹1.53 Cr ,3 BHK,Pune,1159,Unfurnished
Kasturi The Balmoral Towers,₹6.66 Cr ,6 BHK,Pune,3742,Unfurnished
Rohan Harita,₹2.12 Cr ,4 BHK,Pune,1740,Unfurnished
Kumar Parth Towers,₹1.60 Cr ,3 BHK,Pune,1177,Unfurnished
Kolte Patil 24K Altura,₹2.66 Cr ,3 BHK,Pune,1371,Unfurnished
Mantra Mayfair River Residences,₹2.30 Cr ,4 BHK,Pune,1624,Unfurnished
,₹2.22 Cr ,4 BHK,Pune,1909,Unfurnished
Rising Kohinoor Business Tower,₹3 Cr ,,Pune,1498,
Avenue Promenade,₹4.55 Cr ,,Pune,2130,
Ranawat  Aura Aiwa,₹1.52 Cr ,4 BHK,Pune,1543,Unfurnished
Intofinity Kohinoor Satori Mahalunge,₹3.19 Cr ,4 BHK,Pune,2326,Unfurnished
Lodha Camelot,₹2.80 Cr ,4 BHK,Pune,1668,Unfurnished
Kolte Patil 24k Sereno,₹3.21 Cr ,3 BHK,Pune,1674,Unfurnished
Lodha Panache,₹1.62 Cr ,3 BHK,Pune,1088,Unfurnished
Dosti Greenscapes,₹1.65 Cr ,4 BHK,Pune,1395,Unfurnished
Sukhwani Minerva,₹2.40 Cr ,4 BHK,Pune,1474,Unfurnished
The Greenfront at Godrej Park World,₹1.63 Cr ,3 BHK,Pune,1198,Unfurnished
Kumar Parc Residences A2,₹2.19 Cr ,4 BHK,Pune,1674,Unfurnished
Kumar Surakasha,₹1.45 Cr ,3 BHK,,1450,Furnished
Terraza,₹3.95 Cr ,3 BHK,,1750,Furnished
