society_name,price,City,sqft,furnished_status,bhk
Godrej Ivara,30900000.0,Pune,1550,Unfurnished,4.0
Majestique Evolvus,24200000.0,Pune,1684,Unfurnished,4.0
Rachana Bella Casa Royale,15300000.0,Pune,1166,Unfurnished,3.0
Nyati Emerald,17500000.0,Pune,1213,Unfurnished,3.0
Lodha Massimo,78400000.0,Pune,3673,Unfurnished,5.0
Suratwala Mark Plazzo,17000000.0,Pune,721,Unfurnished,3.0
Green Ladder Skyora,17000000.0,Pune,1282,Unfurnished,3.0
Shree Venkatesh Midori Towers Phase II,15300000.0,Pune,1159,Unfurnished,3.0
Kasturi The Balmoral Towers,66600000.0,Pune,3742,Unfurnished,6.0
Rohan Harita,21200000.0,Pune,1740,Unfurnished,4.0
Kumar Parth Towers,16000000.0,Pune,1177,Unfurnished,3.0
Kolte Patil 24K Altura,26600000.0,Pune,1371,Unfurnished,3.0
Mantra Mayfair River Residences,23000000.0,Pune,1624,Unfurnished,4.0
Rising Kohinoor Business Tower,30000000.0,Pune,1498,Unfurnished,3.0
Avenue Promenade,45500000.0,Pune,2130,Unfurnished,3.0
Ranawat  Aura Aiwa,15200000.0,Pune,1543,Unfurnished,4.0
Intofinity Kohinoor Satori Mahalunge,31900000.0,Pune,2326,Unfurnished,4.0
Lodha Camelot,28000000.0,Pune,1668,Unfurnished,4.0
Kolte Patil 24k Sereno,32100000.0,Pune,1674,Unfurnished,3.0
Lodha Panache,16200000.0,Pune,1088,Unfurnished,3.0
Dosti Greenscapes,16500000.0,Pune,1395,Unfurnished,4.0
Sukhwani Minerva,24000000.0,Pune,1474,Unfurnished,4.0
The Greenfront at Godrej Park World,16300000.0,Pune,1198,Unfurnished,3.0
Kumar Parc Residences A2,21900000.0,Pune,1674,Unfurnished,4.0
Kumar Surakasha,14500000.0,Pune,1450,Furnished,3.0
Terraza,39500000.0,Pune,1750,Furnished,3.0
Ganga Liviano,15700000.0,Pune,870,Furnished,2.0
Venkatesh Graffiti,8500000.0,Pune,785,Furnished,2.0
Vilas Prime Panache C Wing,18000000.0,Pune,946,Furnished,2.0
Bharati Vihar,9800000.0,Pune,1097,Furnished,2.0
Gayatree LandMark Phase 2,11000000.0,Pune,798,Furnished,2.0
Royal cataleya,5600000.0,Pune,680,Unfurnished,2.0
J S Chandrabhaga Residency,4750000.0,Pune,372,Furnished,1.0
Pristine Pacific 1,4600000.0,Pune,650,Unfurnished,1.0
Pristine Pacific 1,4800000.0,Pune,648,Unfurnished,1.0
Gada Anutham,16000000.0,Pune,1050,Furnished,3.0
Mark Nirvana,6000000.0,Pune,700,Furnished,2.0
Vasant Utsav,7400000.0,Pune,892,Furnished,2.0
Xrbia Sneh Properties,1500000.0,Pune,450,Unfurnished,2.0
Shiv Sai Paradise,6800000.0,Pune,730,Furnished,2.0
Ganga Fernhill,3800000.0,Pune,625,Unfurnished,1.0
Nakshatra I Land,4200000.0,Pune,471,Unfurnished,1.0
Swami Samruddhi,5000000.0,Pune,427,Furnished,1.0
Gagan Emerald,8500000.0,Pune,1094,Unfurnished,3.0
Gagan Horizon Akanksha,2000000.0,Pune,396,Unfurnished,1.0
Gagan Horizon Akanksha,2500000.0,Pune,414,Furnished,1.0
Gagan 33,37500000.0,Pune,3102,Unfurnished,3.0
Estado Presidential,21000000.0,Pune,2414,Unfurnished,4.0
Skyi Songbirds,9000000.0,Pune,1008,Furnished,2.0
Shafalya Aurum Legacy,18900000.0,Ahmedabad,1960,Unfurnished,4.0
Trogon Centre Court,27700000.0,Ahmedabad,2345,Unfurnished,4.0
Prime Signor Heritage,790000.0,Ahmedabad,216,Unfurnished,3.0
SHELADIA TREETOP,50000000.0,Ahmedabad,6262,Unfurnished,4.0
Shivalik Green View,15700000.0,Ahmedabad,1284,Unfurnished,3.0
Sun Skyview,7270000.0,Ahmedabad,931,Unfurnished,3.0
Safal Riviera Aspire,16400000.0,Ahmedabad,1507,Unfurnished,3.0
Aristo Avira,14900000.0,Ahmedabad,1057,Unfurnished,3.0
Shilp Sacred,31600000.0,Ahmedabad,2235,Unfurnished,4.0
Planet,7310000.0,Ahmedabad,968,Unfurnished,3.0
D R Praharsh Serena,8700000.0,Ahmedabad,1790,Unfurnished,3.0
Aristo Avira,14700000.0,Ahmedabad,1055,Unfurnished,3.0
Goyal Riviera Prestige,32200000.0,Ahmedabad,3705,Unfurnished,5.0
Vishwanath Maher Select,8500000.0,Ahmedabad,952,Unfurnished,3.0
Turquoise Re45 ,22600000.0,Ahmedabad,2200,Unfurnished,4.0
Adani Amaris,31800000.0,Ahmedabad,2470,Unfurnished,4.0
Swati Premier,19000000.0,Ahmedabad,1824,Unfurnished,4.0
Goyal Orchid Regal,20900000.0,Ahmedabad,4287,Unfurnished,3.0
Adani Belrosa,61000000.0,Ahmedabad,6911,Unfurnished,6.0
Aarav Elenza Infinium,17500000.0,Ahmedabad,3900,Unfurnished,4.0
The Riseonic,12500000.0,Ahmedabad,1095,Unfurnished,3.0
Saiyamm Apricus 2,26000000.0,Ahmedabad,2200,Unfurnished,4.0
Aristo The Opus And Aatmantan,28900000.0,Ahmedabad,4455,Unfurnished,4.0
Safal Niwa,15000000.0,Ahmedabad,1452,Unfurnished,4.0
Sheladia Artefino,28000000.0,Ahmedabad,2200,Unfurnished,4.0
Sharanya Altura,8610000.0,Ahmedabad,968,Unfurnished,3.0
Times Trinity,57500000.0,Ahmedabad,4221,Unfurnished,5.0
kanjur Vinayak Apartment,14500000.0,Mumbai,580,Furnished,2.0
Tista Arpit,8500000.0,Mumbai,354,Unfurnished,1.0
Rachna Garden,22500000.0,Mumbai,870,Furnished,3.0
JP North Aviva,6200000.0,Mumbai,360,Furnished,1.0
Madhuban Township,7000000.0,Mumbai,785,Furnished,2.0
Thakur Prasad Apartment,8200000.0,Mumbai,360,Unfurnished,1.0
Heera Panna,8700000.0,Mumbai,700,Furnished,2.0
Satnam Leela,24000000.0,Mumbai,650,Furnished,2.0
Star Sky Sayba Heights,8500000.0,Mumbai,400,Furnished,1.0
Bhoomi Gokul,23000000.0,Mumbai,785,Furnished,2.0
Prathampad Apartments,19000000.0,Mumbai,720,Unfurnished,2.0
Gokuldham,18000000.0,Mumbai,450,Furnished,1.0
St Anthony Apartment,36000000.0,Mumbai,720,Furnished,2.0
Classic View CHS,17500000.0,Mumbai,630,Furnished,2.0
Rivali Park,43000000.0,Mumbai,1296,Furnished,3.0
Evershine Millenium Paradise,18000000.0,Mumbai,583,Unfurnished,2.0
Evershine Millenium Paradise,29000000.0,Mumbai,756,Furnished,2.0
Evershine Green,33000000.0,Mumbai,972,Furnished,3.0
Escaso Platinum Sicily,24700000.0,Mumbai,841,Unfurnished,2.0
Kamdhenu Crown,49100000.0,Mumbai,1483,Unfurnished,3.0
Emperia Hill Crest,6270000.0,Mumbai,564,Unfurnished,2.0
Kamdhenu Pinnacle,23900000.0,Mumbai,881,Unfurnished,3.0
Surana Harmony,3900000.0,Mumbai,437,Unfurnished,1.0
Godrej Varanya Phase 2,37800000.0,Mumbai,1121,Unfurnished,3.0
Embassy Park Panvel,10500000.0,Mumbai,699,Unfurnished,2.0
Tricity Aura,7010000.0,Mumbai,600,Unfurnished,2.0
Ravriya Neelkanth Darshan,14900000.0,Mumbai,990,Unfurnished,2.0
Shri Ashtavinayak Vinayak Vista,6780000.0,Mumbai,1037,Unfurnished,2.0
Techno Shreeji Destiny,13000000.0,Mumbai,840,Unfurnished,3.0
Dream Ikon,10900000.0,Mumbai,675,Unfurnished,3.0
The Arena at Hiranandani Fortune city,30500000.0,Mumbai,1896,Unfurnished,4.0
Goodwill Wisteria,72100000.0,Mumbai,2338,Unfurnished,6.0
Paradise Sai World Empire,19400000.0,Mumbai,877,Unfurnished,2.0
Moreshwar 19 East,22300000.0,Mumbai,700,Unfurnished,2.0
Balaji Delta Palm Beach,37900000.0,Mumbai,1499,Unfurnished,3.0
Satyam Next Level Kharghar Central,17900000.0,Mumbai,856,Unfurnished,3.0
Superb Maximus City,7410000.0,Mumbai,706,Unfurnished,2.0
Vishwa Plan M Business Park,26000000.0,Mumbai,810,Unfurnished,3.0
Raheja Solaris III,44200000.0,Mumbai,1650,Unfurnished,4.0
Arihant Adarsh Phase I,5380000.0,Mumbai,578,Unfurnished,2.0
Cyber Square 1,54000000.0,Mumbai,2879,Unfurnished,3.0
Delta Luxuria,28000000.0,Mumbai,1169,Unfurnished,3.0
M3M Skycity,37500000.0,Gurgaon,1429,Furnished,3.0
All Punjabi Welfare Association,29500000.0,Gurgaon,1650,Furnished,3.0
ATS One Hamlet,65000000.0,Noida,2500,Furnished,4.0
DDA Flats Munirka,21000000.0,Delhi,1450,Furnished,3.0
Chanakya Apartments,29500000.0,Delhi,1700,Unfurnished,3.0
Unitech South City II,37500000.0,Gurgaon,2600,Furnished,4.0
Emaar Emerald Hills,25100000.0,Gurgaon,2210,Unfurnished,3.0
SKA Orion,24700000.0,Noida,1900,Unfurnished,3.0
CRC The Flagship,109300000.0,Noida,3500,Unfurnished,3.0
Chintels Serenity,46800000.0,Gurgaon,1551,Unfurnished,4.0
New Modern Appartment,21000000.0,Delhi,1300,Furnished,3.0
Adani Samsara Avasa,40000000.0,Gurgaon,1361,Furnished,4.0
Luxury Builder Floors,60000000.0,Gurgaon,3200,Furnished,4.0
Cyber City,3250000.0,Noida,525,Furnished,3.0
Tulip Violet,23500000.0,Gurgaon,1578,Furnished,3.0
Indiabulls Enigma,80000000.0,Gurgaon,7430,Unfurnished,5.0
Logix Blossom County 2,14000000.0,Noida,980,Furnished,3.0
TARC Tripundra,98500000.0,Delhi,3200,Unfurnished,4.0
Omaxe Chowk,24400000.0,Delhi,244,Unfurnished,3.0
DLF One Midtown,60000000.0,Delhi,2282,Unfurnished,3.0
Unity The Amaryllis Phase 2,143000000.0,Delhi,5236,Unfurnished,5.0
Omaxe Chowk,13100000.0,Delhi,131,Unfurnished,3.0
Garur Golf Island,76100000.0,Delhi,3260,Unfurnished,4.0
TARC Kailasa,110100000.0,Delhi,3315,Unfurnished,4.0
Dimple Pearl,60000000.0,Delhi,2835,Unfurnished,3.0
Metro Premium Builder Floor,62500000.0,Delhi,1550,Furnished,3.0
Dakshinayan Apartment,24800000.0,Delhi,1700,Unfurnished,3.0
Vasant Vihar Builder Floor,135000000.0,Delhi,400,Unfurnished,4.0
Dakshinayan Apartment,26000000.0,Delhi,1500,Furnished,3.0
Dakshinayan Apartment,24800000.0,Delhi,1530,Furnished,3.0
Unity the Amaryllis,123900000.0,Delhi,3173,Unfurnished,5.0
Unity The Amaryllis Phase 2,84500000.0,Delhi,2701,Unfurnished,3.0
Godrej Connaught One,198000000.0,Delhi,2201,Furnished,3.0
Unity the Amaryllis,43000000.0,Delhi,1900,Furnished,3.0
Godrej Connaught One,209000000.0,Delhi,2201,Unfurnished,3.0
Unity The Amaryllis Phase 2,101900000.0,Delhi,2213,Unfurnished,4.0
DDA MIG Flats Prasad Nagar Phase 2,19000000.0,Delhi,1500,Furnished,3.0
Dosti Eastern Bay,18800000.0,Mumbai,470,Unfurnished,1.0
Godrej Avenue Eleven,300000000.0,Mumbai,2459,Unfurnished,4.0
Piramal Mahalaxmi,83000000.0,Mumbai,1147,Unfurnished,3.0
Lodha Aureus,119000000.0,Mumbai,2250,Unfurnished,4.0
Darshan Promesa Fremont,44000000.0,Mumbai,1044,Unfurnished,3.0
Ruparel Vivanza,42100000.0,Mumbai,1058,Unfurnished,3.0
7 Mahalaxmi,67700000.0,Mumbai,1266,Unfurnished,3.0
Ajmera Manhattan,41000000.0,Mumbai,1023,Unfurnished,3.0
Raymond The Address By GS,42000000.0,Mumbai,1313,Unfurnished,3.0
Ajmera Manhattan,71500000.0,Mumbai,1782,Unfurnished,4.0
Lodha Park,207600000.0,Mumbai,2532,Unfurnished,5.0
Lodha Park,69900000.0,Mumbai,1136,Unfurnished,3.0
Piramal Mahalaxmi,57200000.0,Mumbai,790,Unfurnished,2.0
